"COD_MKT_ID","AREA","MACROSETTORE","SETTORE","REPARTO","CATEGORIA","SOTTOCATEGORIA","SEGMENTO"
"19","Non alimentari","No Food","MULTIMEDIA","PED","COTTURA PED","MACCHINE CAFFE'","COMBINATE"
"20","Non alimentari","No Food","MULTIMEDIA","PED","COTTURA PED","MACCHINE CAFFE'","FILTRO"
"21","Non alimentari","No Food","MULTIMEDIA","PED","COTTURA PED","MACCHINE CAFFE'","MACINA CAFFE'"
"22","Non alimentari","No Food","MULTIMEDIA","PED","COTTURA PED","MACCHINE CAFFE'","ACCESSORI"
"23","Non alimentari","No Food","MULTIMEDIA","PED","COTTURA PED","MACCHINE PER CUOCERE","COTTURA A VAPORE"
"24","Non alimentari","No Food","MULTIMEDIA","PED","COTTURA PED","MACCHINE PER CUOCERE","FRIGGITRICI"
"25","Non alimentari","No Food","MULTIMEDIA","PED","COTTURA PED","MACCHINE PER CUOCERE","ALTRE MACCHINE"
"26","Non alimentari","No Food","MULTIMEDIA","PED","COTTURA PED","MACCHINE PER CUOCERE","ACCESSORI"
"27","Non alimentari","No Food","MULTIMEDIA","PED","COTTURA PED","MICROONDE","BASE"
"28","Non alimentari","No Food","MULTIMEDIA","PED","COTTURA PED","MICROONDE","COMBINATI"
"29","Non alimentari","No Food","MULTIMEDIA","PED","CUCINA PED","ALTRE MACCHINE","GELATO"
"30","Non alimentari","No Food","MULTIMEDIA","PED","CUCINA PED","ALTRE MACCHINE","PASTA"
"31","Non alimentari","No Food","MULTIMEDIA","PED","CUCINA PED","ALTRE MACCHINE","YOGURTIERE"
"32","Non alimentari","No Food","MULTIMEDIA","PED","CUCINA PED","ALTRE MACCHINE","ACCESSORI"
"33","Non alimentari","No Food","MULTIMEDIA","PED","CUCINA PED","ALTRE MACCHINE","ALTRE MACCHINE"
"34","Non alimentari","No Food","MULTIMEDIA","PED","CUCINA PED","MACC. TRITARE/FRULLARE","FRULLATORI"
"35","Non alimentari","No Food","MULTIMEDIA","PED","CUCINA PED","MACC. TRITARE/FRULLARE","GRATTUGIE"
"36","Non alimentari","No Food","MULTIMEDIA","PED","CUCINA PED","MACC. TRITARE/FRULLARE","ROBOT MULTIFUNZIONE"
"37","Non alimentari","No Food","MULTIMEDIA","PED","CUCINA PED","MACC. TRITARE/FRULLARE","SBATTITORI"
"38","Non alimentari","No Food","MULTIMEDIA","PED","CUCINA PED","MACC. TRITARE/FRULLARE","TRITATUTTO"
"39","Non alimentari","No Food","MULTIMEDIA","PED","CUCINA PED","MACC. TRITARE/FRULLARE","ACCESSORI"
"40","Non alimentari","No Food","MULTIMEDIA","PED","CUCINA PED","MACCHINE PER SPREMERE","CENTRIFUGHE"
"41","Non alimentari","No Food","MULTIMEDIA","PED","CUCINA PED","MACCHINE PER SPREMERE","SPREMIAGRUMI"
"42","Non alimentari","No Food","MULTIMEDIA","PED","CUCINA PED","MACCHINE PER SPREMERE","SPREMIPOMODORI"
"43","Non alimentari","No Food","MULTIMEDIA","PED","CUCINA PED","MACCHINE PER SPREMERE","ACCESSORI"
"44","Non alimentari","No Food","MULTIMEDIA","PED","CUCINA PED","MACCHINE PER TAGLIARE","AFFETTATRICI"
"45","Non alimentari","No Food","MULTIMEDIA","PED","CUCINA PED","MACCHINE PER TAGLIARE","COLTELLI ELETTRICI"
"46","Non alimentari","No Food","MULTIMEDIA","PED","CUCINA PED","MACCHINE PER TAGLIARE","ACCESSORI"
"47","Non alimentari","No Food","MULTIMEDIA","PED","PULIZIA PED","CASA","A VAPORE"
"48","Non alimentari","No Food","MULTIMEDIA","PED","PULIZIA PED","CASA","ACCESSORI/ RICAMBI"
"49","Non alimentari","No Food","MULTIMEDIA","PED","PULIZIA PED","CASA","ASPIRAPOL. BIDONE"
"50","Non alimentari","No Food","MULTIMEDIA","PED","PULIZIA PED","CASA","ASPIRAPOL. CARRELLO"
"51","Non alimentari","No Food","MULTIMEDIA","PED","PULIZIA PED","CASA","ASPIRAPOL. SENZA FILO"
"52","Non alimentari","No Food","MULTIMEDIA","PED","PULIZIA PED","CASA","BATTITAPPETI"
"53","Non alimentari","No Food","MULTIMEDIA","PED","PULIZIA PED","CASA","LAVAPAVIMENTI"
"54","Non alimentari","No Food","MULTIMEDIA","PED","PULIZIA PED","CASA","LUCIDATRICI"
"55","Non alimentari","No Food","MULTIMEDIA","PED","PULIZIA PED","CASA","SACCHETTI"
"56","Non alimentari","No Food","MULTIMEDIA","PED","PULIZIA PED","CASA","SCOPE ELETTRICHE"
"57","Non alimentari","No Food","MULTIMEDIA","PED","PULIZIA PED","STIRO","FERRI A CALDAIA"
"58","Non alimentari","No Food","MULTIMEDIA","PED","PULIZIA PED","STIRO","FERRI A SECCO"
"59","Non alimentari","No Food","MULTIMEDIA","PED","PULIZIA PED","STIRO","FERRI A VAPORE"
"60","Non alimentari","No Food","MULTIMEDIA","PED","PULIZIA PED","STIRO","FERRI DA VIAGGIO"
"61","Non alimentari","No Food","MULTIMEDIA","PED","PULIZIA PED","STIRO","MACCHINE STIRATRICI"
"62","Non alimentari","No Food","MULTIMEDIA","PED","PULIZIA PED","STIRO","ACCESSORI"
"63","Non alimentari","No Food","MULTIMEDIA","PED","CURA DELLA PERSONA PED","ANIMALI MOLESTI","SCACCIATOPI"
"64","Non alimentari","No Food","MULTIMEDIA","PED","CURA DELLA PERSONA PED","ANIMALI MOLESTI","ZANZARIERE COMBINATE"
"65","Non alimentari","No Food","MULTIMEDIA","PED","CURA DELLA PERSONA PED","ANIMALI MOLESTI","ZANZARIERE ULTRASUONI"
"66","Non alimentari","No Food","MULTIMEDIA","PED","CURA DELLA PERSONA PED","ASCIUGACAPELLI","PROFESSIONALI"
"67","Non alimentari","No Food","MULTIMEDIA","PED","CURA DELLA PERSONA PED","ASCIUGACAPELLI","NORMALI"
"68","Non alimentari","No Food","MULTIMEDIA","PED","CURA DELLA PERSONA PED","ASCIUGACAPELLI","VIAGGIO"
"69","Non alimentari","No Food","MULTIMEDIA","PED","CURA DELLA PERSONA PED","ASCIUGACAPELLI","CASCHI"
"70","Non alimentari","No Food","MULTIMEDIA","PED","CURA DELLA PERSONA PED","ASCIUGACAPELLI","PARETE"
"71","Non alimentari","No Food","MULTIMEDIA","PED","CURA DELLA PERSONA PED","ASCIUGACAPELLI","PIASTRE"
"72","Non alimentari","No Food","MULTIMEDIA","PED","CURA DELLA PERSONA PED","ASCIUGACAPELLI","ARRICCIACAPELLI"
"73","Non alimentari","No Food","MULTIMEDIA","PED","CURA DELLA PERSONA PED","ASCIUGACAPELLI","SPAZZOLE AD ARIA"
"74","Non alimentari","No Food","MULTIMEDIA","PED","CURA DELLA PERSONA PED","DEPILAZIONE","DEPILATORI"
"75","Non alimentari","No Food","MULTIMEDIA","PED","CURA DELLA PERSONA PED","DEPILAZIONE","EPILATORI"
"76","Non alimentari","No Food","MULTIMEDIA","PED","CURA DELLA PERSONA PED","DEPILAZIONE","SISTEMA A CERETTA"
"77","Non alimentari","No Food","MULTIMEDIA","PED","CURA DELLA PERSONA PED","DEPILAZIONE","ACCESSORI"
"78","Non alimentari","No Food","MULTIMEDIA","PED","CURA DELLA PERSONA PED","IGIENE ORALE","COMBINATI"
"79","Non alimentari","No Food","MULTIMEDIA","PED","CURA DELLA PERSONA PED","IGIENE ORALE","IDROPULSORI"
"80","Non alimentari","No Food","MULTIMEDIA","PED","CURA DELLA PERSONA PED","IGIENE ORALE","SPAZZOLINI ELETTRICI"
"81","Non alimentari","No Food","MULTIMEDIA","PED","CURA DELLA PERSONA PED","IGIENE ORALE","ACCESSORI"
"82","Non alimentari","No Food","MULTIMEDIA","PED","CURA DELLA PERSONA PED","LAMPADE SOLARI","CORPO"
"83","Non alimentari","No Food","MULTIMEDIA","PED","CURA DELLA PERSONA PED","LAMPADE SOLARI","MEZZO BUSTO"
"84","Non alimentari","No Food","MULTIMEDIA","PED","CURA DELLA PERSONA PED","LAMPADE SOLARI","VISO"
"85","Non alimentari","No Food","MULTIMEDIA","PED","CURA DELLA PERSONA PED","MASSAGGIATORI","ELETTROSTIMOLATORI"
"86","Non alimentari","No Food","MULTIMEDIA","PED","CURA DELLA PERSONA PED","MASSAGGIATORI","IDROMASSAGGIATORI"
"87","Non alimentari","No Food","MULTIMEDIA","PED","CURA DELLA PERSONA PED","MASSAGGIATORI","VIBROMASSAGGIATORI"
"88","Non alimentari","No Food","MULTIMEDIA","PED","CURA DELLA PERSONA PED","RASOI","A GRIGLIA"
"89","Non alimentari","No Food","MULTIMEDIA","PED","CURA DELLA PERSONA PED","RASOI","REGOLA BARBA"
"90","Non alimentari","No Food","MULTIMEDIA","PED","CURA DELLA PERSONA PED","RASOI","ROTANTI"
"91","Non alimentari","No Food","MULTIMEDIA","PED","CURA DELLA PERSONA PED","RASOI","TAGLIA CAPELLI"
"92","Non alimentari","No Food","MULTIMEDIA","PED","CURA DELLA PERSONA PED","RASOI","ACCESSORI"
"93","Non alimentari","No Food","MULTIMEDIA","PED","CURA DELLA PERSONA PED","SALUTE","INALATORI"
"94","Non alimentari","No Food","MULTIMEDIA","PED","CURA DELLA PERSONA PED","SALUTE","SAUNE FACCIALI"
"95","Non alimentari","No Food","MULTIMEDIA","PED","CURA DELLA PERSONA PED","SALUTE","SFIGMOMANOMETRI"
"96","Non alimentari","No Food","MULTIMEDIA","PED","CURA DELLA PERSONA PED","SALUTE","TERMOFORI"
"97","Non alimentari","No Food","MULTIMEDIA","PED","CURA DELLA PERSONA PED","SALUTE","TERMOMETRI ELETTRICI"
"98","Non alimentari","No Food","MULTIMEDIA","PED","SARTORIA PED","MACCH. PER MAGLIERIA","ELETTRICHE"
"99","Non alimentari","No Food","MULTIMEDIA","PED","SARTORIA PED","MACCHINE PER CUCIRE","ELETTRICHE"
"100","Non alimentari","No Food","MULTIMEDIA","PED","SARTORIA PED","MACCHINE PER CUCIRE","ACCESSORI"
"101","Non alimentari","No Food","MULTIMEDIA","PED","CONDIZIONAMENTO","CONDIZIONATORI","CARRELLO AD ARIA"
"102","Non alimentari","No Food","MULTIMEDIA","PED","CONDIZIONAMENTO","CONDIZIONATORI","CARRELLO SPLIT"
"103","Non alimentari","No Food","MULTIMEDIA","PED","CONDIZIONAMENTO","CONDIZIONATORI","FISSI"
"104","Non alimentari","No Food","MULTIMEDIA","PED","CONDIZIONAMENTO","PER RISCALDARE AMBIENTE","BRUCIATUTTO/ COMBUS."
"105","Non alimentari","No Food","MULTIMEDIA","PED","CONDIZIONAMENTO","PER RISCALDARE AMBIENTE","RADIATORI OLIO"
"106","Non alimentari","No Food","MULTIMEDIA","PED","CONDIZIONAMENTO","PER RISCALDARE AMBIENTE","RADIATORI VENTILATI"
"107","Non alimentari","No Food","MULTIMEDIA","PED","CONDIZIONAMENTO","PER RISCALDARE AMBIENTE","STUFE A GAS"
"108","Non alimentari","No Food","MULTIMEDIA","PED","CONDIZIONAMENTO","PER RISCALDARE AMBIENTE","STUFE ELETTRICHE"
"109","Non alimentari","No Food","MULTIMEDIA","PED","CONDIZIONAMENTO","PER RISCALDARE AMBIENTE","TERMO CONVETTORI"
"110","Non alimentari","No Food","MULTIMEDIA","PED","CONDIZIONAMENTO","PER RISCALDARE AMBIENTE","TERMO VENTILATORI"
"111","Non alimentari","No Food","MULTIMEDIA","PED","CONDIZIONAMENTO","PER RISCALDARE LETTO","COPERTE ELETTRICHE"
"112","Non alimentari","No Food","MULTIMEDIA","PED","CONDIZIONAMENTO","PER RISCALDARE LETTO","SCALDALETTO ELETTRICI"
"113","Non alimentari","No Food","MULTIMEDIA","PED","CONDIZIONAMENTO","PER RISCALDARE LETTO","SCALDINO PIEDI"
"114","Non alimentari","No Food","MULTIMEDIA","PED","CONDIZIONAMENTO","SANIFICATORI","DEUMIDIFICATORI"
"115","Non alimentari","No Food","MULTIMEDIA","PED","CONDIZIONAMENTO","SANIFICATORI","ESTRATTORI"
"116","Non alimentari","No Food","MULTIMEDIA","PED","CONDIZIONAMENTO","SANIFICATORI","PURIFICATORI"
"117","Non alimentari","No Food","MULTIMEDIA","PED","CONDIZIONAMENTO","SANIFICATORI","UMIDIFICATORI"
"118","Non alimentari","No Food","MULTIMEDIA","PED","CONDIZIONAMENTO","SCALDABAGNI","A GAS"
"119","Non alimentari","No Food","MULTIMEDIA","PED","CONDIZIONAMENTO","SCALDABAGNI","ELETTRICI"
"120","Non alimentari","No Food","MULTIMEDIA","PED","CONDIZIONAMENTO","VENTILATORI","A PIANTANA"
"121","Non alimentari","No Food","MULTIMEDIA","PED","CONDIZIONAMENTO","VENTILATORI","A SOFFITTO"
"122","Non alimentari","No Food","MULTIMEDIA","PED","CONDIZIONAMENTO","VENTILATORI","DA TAVOLO"
"123","Non alimentari","No Food","MULTIMEDIA","PED","PED","PED","PED"
"124","Non alimentari","No Food","MULTIMEDIA","GED","LAVAGGIO","ASCIUGATRICI","CARICA ALTO"
"125","Non alimentari","No Food","MULTIMEDIA","GED","LAVAGGIO","ASCIUGATRICI","FRONTALI"
"126","Non alimentari","No Food","MULTIMEDIA","GED","LAVAGGIO","LAVASTOVIGLIE","NORMALI"
"127","Non alimentari","No Food","MULTIMEDIA","GED","LAVAGGIO","LAVASTOVIGLIE","RIDOTTE"
"128","Non alimentari","No Food","MULTIMEDIA","GED","LAVAGGIO","LAVATRICI","CARICA ALTO"
"129","Non alimentari","No Food","MULTIMEDIA","GED","LAVAGGIO","LAVATRICI","FRONTALI"
"130","Non alimentari","No Food","MULTIMEDIA","GED","LAVAGGIO","LAVATRICI","FRONTALI RIDOTTI"
"131","Non alimentari","No Food","MULTIMEDIA","GED","LAVAGGIO","LAVATRICI","LAVASCIUGA"
"132","Non alimentari","No Food","MULTIMEDIA","GED","LAVAGGIO","LAVATRICI","PORTATILI"
"133","Non alimentari","No Food","MULTIMEDIA","GED","LAVAGGIO","ACCESSORI","ACCESSORI"
"134","Non alimentari","No Food","MULTIMEDIA","GED","CONSERVAZIONE GED","COMBINATI","1 MOTORE"
"135","Non alimentari","No Food","MULTIMEDIA","GED","CONSERVAZIONE GED","COMBINATI","1 MOTORE + ELETTROVALVOLA"
"136","Non alimentari","No Food","MULTIMEDIA","GED","CONSERVAZIONE GED","COMBINATI","2 MOTORI"
"137","Non alimentari","No Food","MULTIMEDIA","GED","CONSERVAZIONE GED","COMBINATI","SIDE BY SIDE"
"138","Non alimentari","No Food","MULTIMEDIA","GED","CONSERVAZIONE GED","CONGELATORI","ORIZZONTALI"
"139","Non alimentari","No Food","MULTIMEDIA","GED","CONSERVAZIONE GED","CONGELATORI","VERTICALI"
"140","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","ACQUE","MINERALI","NATURALI"
"141","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","ACQUE","MINERALI","FRIZZANTI"
"142","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","ACQUE","MINERALI","LIEVEMENTE FRIZZ."
"143","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","ACQUE","MINERALI","EFFERVESCENTI NAT."
"144","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","ACQUE","ALTRE ACQUE","ALTRE ACQUE"
"145","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","BIBITE","COLE","NORMALE"
"146","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","BIBITE","COLE","DECAFFEINATA"
"147","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","BIBITE","COLE","LIGHT"
"148","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","BIBITE","ARANCIATE","DOLCE"
"149","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","BIBITE","ARANCIATE","AMARA"
"150","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","BIBITE","ARANCIATE","LIGHT"
"151","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","BIBITE","ALTRE GAS","POMPELMO"
"152","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","BIBITE","ALTRE GAS","GASSOSA"
"153","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","BIBITE","ALTRE GAS","LIMONATA"
"154","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","BIBITE","ALTRE GAS","CHINOTTO"
"155","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","BIBITE","ALTRE GAS","ACQUA TONICA"
"156","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","BIBITE","ALTRE GAS","ALTRE GAS"
"157","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","BIBITE","BASE FRUTTA","ARANCIA"
"158","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","BIBITE","BASE FRUTTA","ANANAS"
"159","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","BIBITE","BASE FRUTTA","POMPELMO"
"160","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","BIBITE","BASE FRUTTA","TROPICAL"
"161","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","BIBITE","BASE FRUTTA","ALTRO"
"162","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","BIBITE","THE PRONTO","NORMALE"
"163","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","BIBITE","THE PRONTO","DETEINATO"
"164","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","BIBITE","THE PRONTO","LIGHT"
"165","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","BIBITE","ACQUE AROMATIZZATE","ACQUE AROMATIZZATE"
"166","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","BIBITE","INTEGRATORI","SALINI LIQUIDI"
"167","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","BIBITE","INTEGRATORI","SALINI POLVERI"
"168","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","BIBITE","INTEGRATORI","ENERGETICI"
"169","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","BIBITE","INTEGRATORI","ALTRE"
"170","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","BIBITE","PREPARATI PER BEVANDE","SCIROPPI"
"171","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","BIBITE","PREPARATI PER BEVANDE","TEA SOLUBILE"
"172","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","BIBITE","PREPARATI PER BEVANDE","DIGESTIVI"
"173","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","BIBITE","PREPARATI PER BEVANDE","BICARBONATI"
"174","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","BIBITE","PREPARATI PER BEVANDE","ALTRI"
"175","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","SUCCHI DI FRUTTA","SUCCHI LIQUIDI","< 500 ML."
"176","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","SUCCHI DI FRUTTA","SUCCHI LIQUIDI","500 : 1000  ML."
"177","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","SUCCHI DI FRUTTA","SUCCHI LIQUIDI","> 1000 ML."
"178","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","SUCCHI DI FRUTTA","SUCCHI DENSI","< 500 ML."
"179","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","SUCCHI DI FRUTTA","SUCCHI DENSI","500 : 1000  ML."
"180","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","SUCCHI DI FRUTTA","SUCCHI DENSI","> 1000 ML."
"181","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","SUCCHI DI FRUTTA","SUCCHI VEGETALI","POMODORO"
"182","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","SUCCHI DI FRUTTA","SUCCHI VEGETALI","ALTRI"
"183","Alimentari","Generi vari","GROCERY ALIMENTARI","LIQUIDI","BIRRA","NORMALI","VETRO FINO ML.330"
"184","Non alimentari","No Food","CASA","PULIZIA","STENDERE","STENDIBIANCHERIA","FERRO"
"185","Non alimentari","No Food","CASA","PULIZIA","STIRARE","ACCESSORI","TELI STIRO"
"186","Non alimentari","No Food","CASA","PULIZIA","STIRARE","ACCESSORI","ALTRO"
"187","Non alimentari","No Food","CASA","PULIZIA","STIRARE","ASSI DA STIRO","METALLO"
"188","Non alimentari","No Food","CASA","PULIZIA","STIRARE","ASSI DA STIRO","LEGNO"
"189","Non alimentari","No Food","CASA","PULIZIA","RIPORRE","ARMADIETTI SMONTABILI","COTONE"
"190","Non alimentari","No Food","CASA","PULIZIA","RIPORRE","ARMADIETTI SMONTABILI","TNT"
"191","Non alimentari","No Food","CASA","PULIZIA","RIPORRE","ARMADIETTI SMONTABILI","PEVA"
"192","Non alimentari","No Food","CASA","PULIZIA","RIPORRE","CUSTODIE SACCHI","TNT"
"193","Non alimentari","No Food","CASA","PULIZIA","RIPORRE","CUSTODIE SACCHI","POLITENE"
"194","Non alimentari","No Food","CASA","PULIZIA","RIPORRE","CUSTODIE SACCHI","PEVA"
"195","Non alimentari","No Food","CASA","PULIZIA","RIPORRE","GRUCCE","LEGNO"
"196","Non alimentari","No Food","CASA","PULIZIA","RIPORRE","GRUCCE","METALLO"
"197","Non alimentari","No Food","CASA","PULIZIA","RIPORRE","GRUCCE","PLASTICA"
"198","Non alimentari","No Food","CASA","PULIZIA","RIPORRE","SCATOLE RIEMPIMENTO","PLASTICA"
"199","Non alimentari","No Food","CASA","PULIZIA","RIPORRE","SCATOLE RIEMPIMENTO","CARTONE"
"200","Non alimentari","No Food","CASA","PULIZIA","RIPORRE","CARRELLI E BORSE SPESA","COTONE PLASTIFICATO"
"201","Non alimentari","No Food","CASA","PULIZIA","RIPORRE","CARRELLI E BORSE SPESA","ALTRO"
"202","Non alimentari","No Food","CASA","PULIZIA","RIPORRE","CESTI","MATERIALI NATURALI"
"203","Non alimentari","No Food","CASA","PULIZIA","RIPORRE","ALTRI","ALTRI"
"204","Non alimentari","No Food","CASA","PULIZIA","PULIZIA","PULIZIA","PULIZIA"
"205","Alimentari","Generi vari","CHIMICA","IGIENE AMBIENTI","DETERGENZA TESSUTI","DETERGENTI LAVATRICE","POLVERI"
"206","Alimentari","Generi vari","CHIMICA","IGIENE AMBIENTI","DETERGENZA TESSUTI","DETERGENTI LAVATRICE","TABS"
"207","Alimentari","Generi vari","CHIMICA","IGIENE AMBIENTI","DETERGENZA TESSUTI","DETERGENTI LAVATRICE","LIQUIDI NORMALI"
"208","Alimentari","Generi vari","CHIMICA","IGIENE AMBIENTI","DETERGENZA TESSUTI","DETERGENTI LAVATRICE","LIQUIDI CONCENTRATI"
"209","Alimentari","Generi vari","CHIMICA","IGIENE AMBIENTI","DETERGENZA TESSUTI","DETERG. INDUMENTI DELICATI","LIQUIDI"
"210","Alimentari","Generi vari","CHIMICA","IGIENE AMBIENTI","DETERGENZA TESSUTI","DETERG. INDUMENTI DELICATI","POLVERI"
"211","Alimentari","Generi vari","CHIMICA","IGIENE AMBIENTI","DETERGENZA TESSUTI","DETERGENTI BUCATO A MANO","SAPONI SOLIDI"
"212","Alimentari","Generi vari","CHIMICA","IGIENE AMBIENTI","DETERGENZA TESSUTI","DETERGENTI BUCATO A MANO","POLVERI"
"213","Alimentari","Generi vari","CHIMICA","IGIENE AMBIENTI","DETERGENZA TESSUTI","DETERGENTI BUCATO A MANO","LIQUIDI"
"214","Alimentari","Generi vari","CHIMICA","IGIENE AMBIENTI","CURA TESSUTI","AMMORBIDENTI BUCATO","NORMALI"
"215","Alimentari","Generi vari","CHIMICA","IGIENE AMBIENTI","CURA TESSUTI","AMMORBIDENTI BUCATO","CONCENTRATI"
"216","Alimentari","Generi vari","CHIMICA","IGIENE AMBIENTI","CURA TESSUTI","CANDEGGINE","NORMALI"
"217","Alimentari","Generi vari","CHIMICA","IGIENE AMBIENTI","CURA TESSUTI","CANDEGGINE","PROFUMATE"
"218","Alimentari","Generi vari","CHIMICA","IGIENE AMBIENTI","CURA TESSUTI","CANDEGGINE","DELICATE"
"219","Alimentari","Generi vari","CHIMICA","IGIENE AMBIENTI","CURA TESSUTI","ADDITIVI","DECALCIFICANTI"
"220","Alimentari","Generi vari","CHIMICA","IGIENE AMBIENTI","CURA TESSUTI","ADDITIVI","DISINFETTANTI"
"221","Alimentari","Generi vari","CHIMICA","IGIENE AMBIENTI","CURA TESSUTI","ADDITIVI COADIUVANTI BUCATO","POLVERI"
"222","Alimentari","Generi vari","CHIMICA","IGIENE AMBIENTI","CURA TESSUTI","ADDITIVI COADIUVANTI BUCATO","LIQUIDI"
"223","Alimentari","Generi vari","CHIMICA","IGIENE AMBIENTI","CURA TESSUTI","ADDITIVI COADIUVANTI BUCATO","GEL"
"224","Alimentari","Generi vari","CHIMICA","IGIENE AMBIENTI","CURA TESSUTI","ADDITIVI COADIUVANTI BUCATO","PASTA"
"225","Alimentari","Generi vari","CHIMICA","IGIENE AMBIENTI","CURA TESSUTI","ADDITIVI COADIUVANTI BUCATO","ALTRI"
