PassengerId,Survived,Pclass,Embarked,Cabin,Ticket,Fare
251,0,3,S,,362316,7.25
252,0,3,S,G6,347054,10.4625
253,0,1,S,C87,113514,26.55
254,0,3,S,,A/5. 3336,16.1
255,0,3,S,,370129,20.2125
256,1,3,C,,2650,15.2458
257,1,1,C,,PC 17585,79.2
258,1,1,S,B77,110152,86.5
259,1,1,C,,PC 17755,512.3292
260,1,2,S,,230433,26.0
261,0,3,Q,,384461,7.75
262,1,3,S,,347077,31.3875
263,0,1,S,E67,110413,79.65
264,0,1,S,B94,112059,0.0
265,0,3,Q,,382649,7.75
266,0,2,S,,C.A. 17248,10.5
267,0,3,S,,3101295,39.6875
268,1,3,S,,347083,7.775
269,1,1,S,C125,PC 17582,153.4625
270,1,1,S,C99,PC 17760,135.6333
271,0,1,S,,113798,31.0
272,1,3,S,,LINE,0.0
273,1,2,S,,250644,19.5
274,0,1,C,C118,PC 17596,29.7
275,1,3,Q,,370375,7.75
276,1,1,S,D7,13502,77.9583
277,0,3,S,,347073,7.75
278,0,2,S,,239853,0.0
279,0,3,Q,,382652,29.125
280,1,3,S,,C.A. 2673,20.25
281,0,3,Q,,336439,7.75
282,0,3,S,,347464,7.8542
283,0,3,S,,345778,9.5
284,1,3,S,,A/5. 10482,8.05
285,0,1,S,A19,113056,26.0
286,0,3,C,,349239,8.6625
287,1,3,S,,345774,9.5
288,0,3,S,,349206,7.8958
289,1,2,S,,237798,13.0
290,1,3,Q,,370373,7.75
291,1,1,S,,19877,78.85
292,1,1,C,B49,11967,91.0792
293,0,2,C,D,SC/Paris 2163,12.875
294,0,3,S,,349236,8.85
295,0,3,S,,349233,7.8958
296,0,1,C,,PC 17612,27.7208
297,0,3,C,,2693,7.2292
298,0,1,S,C22 C26,113781,151.55
299,1,1,S,C106,19988,30.5
300,1,1,C,B58 B60,PC 17558,247.5208
301,1,3,Q,,9234,7.75
302,1,3,Q,,367226,23.25
303,0,3,S,,LINE,0.0
304,1,2,Q,E101,226593,12.35
305,0,3,S,,A/5 2466,8.05
306,1,1,S,C22 C26,113781,151.55
307,1,1,C,,17421,110.8833
308,1,1,C,C65,PC 17758,108.9
309,0,2,C,,P/PP 3381,24.0
310,1,1,C,E36,PC 17485,56.9292
311,1,1,C,C54,11767,83.1583
312,1,1,C,B57 B59 B63 B66,PC 17608,262.375
313,0,2,S,,250651,26.0
314,0,3,S,,349243,7.8958
315,0,2,S,,F.C.C. 13529,26.25
316,1,3,S,,347470,7.8542
317,1,2,S,,244367,26.0
318,0,2,S,,29011,14.0
319,1,1,S,C7,36928,164.8667
320,1,1,C,E34,16966,134.5
321,0,3,S,,A/5 21172,7.25
322,0,3,S,,349219,7.8958
323,1,2,Q,,234818,12.35
324,1,2,S,,248738,29.0
325,0,3,S,,CA. 2343,69.55
326,1,1,C,C32,PC 17760,135.6333
327,0,3,S,,345364,6.2375
328,1,2,S,D,28551,13.0
329,1,3,S,,363291,20.525
330,1,1,C,B18,111361,57.9792
331,1,3,Q,,367226,23.25
332,0,1,S,C124,113043,28.5
333,0,1,S,C91,PC 17582,153.4625
334,0,3,S,,345764,18.0
335,1,1,S,,PC 17611,133.65
336,0,3,S,,349225,7.8958
337,0,1,S,C2,113776,66.6
338,1,1,C,E40,16966,134.5
339,1,3,S,,7598,8.05
340,0,1,S,T,113784,35.5
341,1,2,S,F2,230080,26.0
342,1,1,S,C23 C25 C27,19950,263.0
343,0,2,S,,248740,13.0
344,0,2,S,,244361,13.0
345,0,2,S,,229236,13.0
346,1,2,S,F33,248733,13.0
347,1,2,S,,31418,13.0
348,1,3,S,,386525,16.1
349,1,3,S,,C.A. 37671,15.9
350,0,3,S,,315088,8.6625
351,0,3,S,,7267,9.225
352,0,1,S,C128,113510,35.0
353,0,3,C,,2695,7.2292
354,0,3,S,,349237,17.8
355,0,3,C,,2647,7.225
356,0,3,S,,345783,9.5
357,1,1,S,E33,113505,55.0
358,0,2,S,,237671,13.0
359,1,3,Q,,330931,7.8792
360,1,3,Q,,330980,7.8792
361,0,3,S,,347088,27.9
362,0,2,C,,SC/PARIS 2167,27.7208
363,0,3,C,,2691,14.4542
364,0,3,S,,SOTON/O.Q. 3101310,7.05
365,0,3,Q,,370365,15.5
366,0,3,S,,C 7076,7.25
367,1,1,C,D37,110813,75.25
368,1,3,C,,2626,7.2292
369,1,3,Q,,14313,7.75
370,1,1,C,B35,PC 17477,69.3
371,1,1,C,E50,11765,55.4417
372,0,3,S,,3101267,6.4958
373,0,3,S,,323951,8.05
374,0,1,C,,PC 17760,135.6333
375,0,3,S,,349909,21.075
376,1,1,C,,PC 17604,82.1708
377,1,3,S,,C 7077,7.25
378,0,1,C,C82,113503,211.5
379,0,3,C,,2648,4.0125
380,0,3,S,,347069,7.775
381,1,1,C,,PC 17757,227.525
382,1,3,C,,2653,15.7417
383,0,3,S,,STON/O 2. 3101293,7.925
384,1,1,S,,113789,52.0
385,0,3,S,,349227,7.8958
386,0,2,S,,S.O.C. 14879,73.5
387,0,3,S,,CA 2144,46.9
388,1,2,S,,27849,13.0
389,0,3,Q,,367655,7.7292
390,1,2,C,,SC 1748,12.0
391,1,1,S,B96 B98,113760,120.0
392,1,3,S,,350034,7.7958
393,0,3,S,,3101277,7.925
394,1,1,C,D36,35273,113.275
395,1,3,S,G6,PP 9549,16.7
396,0,3,S,,350052,7.7958
397,0,3,S,,350407,7.8542
398,0,2,S,,28403,26.0
399,0,2,S,,244278,10.5
400,1,2,S,,240929,12.65
401,1,3,S,,STON/O 2. 3101289,7.925
402,0,3,S,,341826,8.05
403,0,3,S,,4137,9.825
404,0,3,S,,STON/O2. 3101279,15.85
405,0,3,S,,315096,8.6625
406,0,2,S,,28664,21.0
407,0,3,S,,347064,7.75
408,1,2,S,,29106,18.75
409,0,3,S,,312992,7.775
410,0,3,S,,4133,25.4667
411,0,3,S,,349222,7.8958
412,0,3,Q,,394140,6.8583
413,1,1,Q,C78,19928,90.0
414,0,2,S,,239853,0.0
415,1,3,S,,STON/O 2. 3101269,7.925
416,0,3,S,,343095,8.05
417,1,2,S,,28220,32.5
418,1,2,S,,250652,13.0
419,0,2,S,,28228,13.0
420,0,3,S,,345773,24.15
421,0,3,C,,349254,7.8958
422,0,3,Q,,A/5. 13032,7.7333
423,0,3,S,,315082,7.875
424,0,3,S,,347080,14.4
425,0,3,S,,370129,20.2125
426,0,3,S,,A/4. 34244,7.25
427,1,2,S,,2003,26.0
428,1,2,S,,250655,26.0
429,0,3,Q,,364851,7.75
430,1,3,S,E10,SOTON/O.Q. 392078,8.05
431,1,1,S,C52,110564,26.55
432,1,3,S,,376564,16.1
433,1,2,S,,SC/AH 3085,26.0
434,0,3,S,,STON/O 2. 3101274,7.125
435,0,1,S,E44,13507,55.9
436,1,1,S,B96 B98,113760,120.0
437,0,3,S,,W./C. 6608,34.375
438,1,2,S,,29106,18.75
439,0,1,S,C23 C25 C27,19950,263.0
440,0,2,S,,C.A. 18723,10.5
441,1,2,S,,F.C.C. 13529,26.25
442,0,3,S,,345769,9.5
443,0,3,S,,347076,7.775
444,1,2,S,,230434,13.0
445,1,3,S,,65306,8.1125
446,1,1,S,A34,33638,81.8583
447,1,2,S,,250644,19.5
448,1,1,S,,113794,26.55
449,1,3,C,,2666,19.2583
450,1,1,S,C104,113786,30.5
451,0,2,S,,C.A. 34651,27.75
452,0,3,S,,65303,19.9667
453,0,1,C,C111,113051,27.75
454,1,1,C,C92,17453,89.1042
455,0,3,S,,A/5 2817,8.05
456,1,3,C,,349240,7.8958
457,0,1,S,E38,13509,26.55
458,1,1,S,D21,17464,51.8625
459,1,2,S,,F.C.C. 13531,10.5
460,0,3,Q,,371060,7.75
461,1,1,S,E12,19952,26.55
462,0,3,S,,364506,8.05
463,0,1,S,E63,111320,38.5
464,0,2,S,,234360,13.0
465,0,3,S,,A/S 2816,8.05
466,0,3,S,,SOTON/O.Q. 3101306,7.05
467,0,2,S,,239853,0.0
468,0,1,S,,113792,26.55
469,0,3,Q,,36209,7.725
470,1,3,C,,2666,19.2583
471,0,3,S,,323592,7.25
472,0,3,S,,315089,8.6625
473,1,2,S,,C.A. 34651,27.75
474,1,2,C,D,SC/AH Basle 541,13.7917
475,0,3,S,,7553,9.8375
476,0,1,S,A14,110465,52.0
477,0,2,S,,31027,21.0
478,0,3,S,,3460,7.0458
479,0,3,S,,350060,7.5208
480,1,3,S,,3101298,12.2875
481,0,3,S,,CA 2144,46.9
482,0,2,S,,239854,0.0
483,0,3,S,,A/5 3594,8.05
484,1,3,S,,4134,9.5875
485,1,1,C,B49,11967,91.0792
486,0,3,S,,4133,25.4667
487,1,1,S,C93,19943,90.0
488,0,1,C,B37,11771,29.7
489,0,3,S,,A.5. 18509,8.05
490,1,3,S,,C.A. 37671,15.9
491,0,3,S,,65304,19.9667
492,0,3,S,,SOTON/OQ 3101317,7.25
493,0,1,S,C30,113787,30.5
494,0,1,C,,PC 17609,49.5042
495,0,3,S,,A/4 45380,8.05
496,0,3,C,,2627,14.4583
497,1,1,C,D20,36947,78.2667
498,0,3,S,,C.A. 6212,15.1
499,0,1,S,C22 C26,113781,151.55
500,0,3,S,,350035,7.7958
501,0,3,S,,315086,8.6625
502,0,3,Q,,364846,7.75
503,0,3,Q,,330909,7.6292
504,0,3,S,,4135,9.5875
505,1,1,S,B79,110152,86.5
506,0,1,C,C65,PC 17758,108.9
507,1,2,S,,26360,26.0
508,1,1,S,,111427,26.55
509,0,3,S,,C 4001,22.525
510,1,3,S,,1601,56.4958
511,1,3,Q,,382651,7.75
512,0,3,S,,SOTON/OQ 3101316,8.05
513,1,1,S,E25,PC 17473,26.2875
514,1,1,C,,PC 17603,59.4
515,0,3,S,,349209,7.4958
516,0,1,S,D46,36967,34.0208
517,1,2,S,F33,C.A. 34260,10.5
518,0,3,Q,,371110,24.15
519,1,2,S,,226875,26.0
520,0,3,S,,349242,7.8958
521,1,1,S,B73,12749,93.5
522,0,3,S,,349252,7.8958
523,0,3,C,,2624,7.225
524,1,1,C,B18,111361,57.9792
525,0,3,C,,2700,7.2292
526,0,3,Q,,367232,7.75
527,1,2,S,,W./C. 14258,10.5
528,0,1,S,C95,PC 17483,221.7792
529,0,3,S,,3101296,7.925
530,0,2,S,,29104,11.5
531,1,2,S,,26360,26.0
532,0,3,C,,2641,7.2292
533,0,3,C,,2690,7.2292
534,1,3,C,,2668,22.3583
535,0,3,S,,315084,8.6625
536,1,2,S,,F.C.C. 13529,26.25
537,0,1,S,B38,113050,26.55
538,1,1,C,,PC 17761,106.425
539,0,3,S,,364498,14.5
540,1,1,C,B39,13568,49.5
541,1,1,S,B22,WE/P 5735,71.0
542,0,3,S,,347082,31.275
543,0,3,S,,347082,31.275
544,1,2,S,,2908,26.0
545,0,1,C,C86,PC 17761,106.425
546,0,1,S,,693,26.0
547,1,2,S,,2908,26.0
548,1,2,C,,SC/PARIS 2146,13.8625
549,0,3,S,,363291,20.525
550,1,2,S,,C.A. 33112,36.75
551,1,1,C,C70,17421,110.8833
552,0,2,S,,244358,26.0
553,0,3,Q,,330979,7.8292
554,1,3,C,,2620,7.225
555,1,3,S,,347085,7.775
556,0,1,S,,113807,26.55
557,1,1,C,A16,11755,39.6
558,0,1,C,,PC 17757,227.525
559,1,1,S,E67,110413,79.65
560,1,3,S,,345572,17.4
561,0,3,Q,,372622,7.75
562,0,3,S,,349251,7.8958
563,0,2,S,,218629,13.5
564,0,3,S,,SOTON/OQ 392082,8.05
565,0,3,S,,SOTON/O.Q. 392087,8.05
566,0,3,S,,A/4 48871,24.15
567,0,3,S,,349205,7.8958
568,0,3,S,,349909,21.075
569,0,3,C,,2686,7.2292
570,1,3,S,,350417,7.8542
571,1,2,S,,S.W./PP 752,10.5
572,1,1,S,C101,11769,51.4792
573,1,1,S,E25,PC 17474,26.3875
574,1,3,Q,,14312,7.75
575,0,3,S,,A/4. 20589,8.05
576,0,3,S,,358585,14.5
577,1,2,S,,243880,13.0
578,1,1,S,E44,13507,55.9
579,0,3,C,,2689,14.4583
580,1,3,S,,STON/O 2. 3101286,7.925
581,1,2,S,,237789,30.0
582,1,1,C,C68,17421,110.8833
583,0,2,S,,28403,26.0
584,0,1,C,A10,13049,40.125
585,0,3,C,,3411,8.7125
586,1,1,S,E68,110413,79.65
587,0,2,S,,237565,15.0
588,1,1,C,B41,13567,79.2
589,0,3,S,,14973,8.05
590,0,3,S,,A./5. 3235,8.05
591,0,3,S,,STON/O 2. 3101273,7.125
592,1,1,C,D20,36947,78.2667
593,0,3,S,,A/5 3902,7.25
594,0,3,Q,,364848,7.75
595,0,2,S,,SC/AH 29037,26.0
596,0,3,S,,345773,24.15
597,1,2,S,,248727,33.0
598,0,3,S,,LINE,0.0
599,0,3,C,,2664,7.225
600,1,1,C,A20,PC 17485,56.9292
601,1,2,S,,243847,27.0
602,0,3,S,,349214,7.8958
603,0,1,S,,113796,42.4
604,0,3,S,,364511,8.05
605,1,1,C,,111426,26.55
606,0,3,S,,349910,15.55
607,0,3,S,,349246,7.8958
608,1,1,S,,113804,30.5
609,1,2,C,,SC/Paris 2123,41.5792
610,1,1,S,C125,PC 17582,153.4625
611,0,3,S,,347082,31.275
612,0,3,S,,SOTON/O.Q. 3101305,7.05
613,1,3,Q,,367230,15.5
614,0,3,Q,,370377,7.75
615,0,3,S,,364512,8.05
616,1,2,S,,220845,65.0
617,0,3,S,,347080,14.4
618,0,3,S,,A/5. 3336,16.1
619,1,2,S,F4,230136,39.0
620,0,2,S,,31028,10.5
621,0,3,C,,2659,14.4542
622,1,1,S,D19,11753,52.5542
623,1,3,C,,2653,15.7417
624,0,3,S,,350029,7.8542
625,0,3,S,,54636,16.1
626,0,1,S,D50,36963,32.3208
627,0,2,Q,,219533,12.35
628,1,1,S,D9,13502,77.9583
629,0,3,S,,349224,7.8958
630,0,3,Q,,334912,7.7333
631,1,1,S,A23,27042,30.0
632,0,3,S,,347743,7.0542
633,1,1,C,B50,13214,30.5
634,0,1,S,,112052,0.0
635,0,3,S,,347088,27.9
636,1,2,S,,237668,13.0
637,0,3,S,,STON/O 2. 3101292,7.925
638,0,2,S,,C.A. 31921,26.25
639,0,3,S,,3101295,39.6875
640,0,3,S,,376564,16.1
641,0,3,S,,350050,7.8542
642,1,1,C,B35,PC 17477,69.3
643,0,3,S,,347088,27.9
644,1,3,S,,1601,56.4958
645,1,3,C,,2666,19.2583
646,1,1,C,D33,PC 17572,76.7292
647,0,3,S,,349231,7.8958
648,1,1,C,A26,13213,35.5
649,0,3,S,,S.O./P.P. 751,7.55
650,1,3,S,,CA. 2314,7.55
651,0,3,S,,349221,7.8958
652,1,2,S,,231919,23.0
653,0,3,S,,8475,8.4333
654,1,3,Q,,330919,7.8292
655,0,3,Q,,365226,6.75
656,0,2,S,,S.O.C. 14879,73.5
657,0,3,S,,349223,7.8958
658,0,3,Q,,364849,15.5
659,0,2,S,,29751,13.0
660,0,1,C,D48,35273,113.275
661,1,1,S,,PC 17611,133.65
662,0,3,C,,2623,7.225
663,0,1,S,E58,5727,25.5875
664,0,3,S,,349210,7.4958
665,1,3,S,,STON/O 2. 3101285,7.925
666,0,2,S,,S.O.C. 14879,73.5
667,0,2,S,,234686,13.0
668,0,3,S,,312993,7.775
669,0,3,S,,A/5 3536,8.05
670,1,1,S,C126,19996,52.0
671,1,2,S,,29750,39.0
672,0,1,S,B71,F.C. 12750,52.0
673,0,2,S,,C.A. 24580,10.5
674,1,2,S,,244270,13.0
675,0,2,S,,239856,0.0
676,0,3,S,,349912,7.775
677,0,3,S,,342826,8.05
678,1,3,S,,4138,9.8417
679,0,3,S,,CA 2144,46.9
680,1,1,C,B51 B53 B55,PC 17755,512.3292
681,0,3,Q,,330935,8.1375
682,1,1,C,D49,PC 17572,76.7292
683,0,3,S,,6563,9.225
684,0,3,S,,CA 2144,46.9
685,0,2,S,,29750,39.0
686,0,2,C,,SC/Paris 2123,41.5792
687,0,3,S,,3101295,39.6875
688,0,3,S,,349228,10.1708
689,0,3,S,,350036,7.7958
690,1,1,S,B5,24160,211.3375
691,1,1,S,B20,17474,57.0
692,1,3,C,,349256,13.4167
693,1,3,S,,1601,56.4958
694,0,3,C,,2672,7.225
695,0,1,S,,113800,26.55
696,0,2,S,,248731,13.5
697,0,3,S,,363592,8.05
698,1,3,Q,,35852,7.7333
699,0,1,C,C68,17421,110.8833
700,0,3,S,F G63,348121,7.65
701,1,1,C,C62 C64,PC 17757,227.525
702,1,1,S,E24,PC 17475,26.2875
703,0,3,C,,2691,14.4542
704,0,3,Q,,36864,7.7417
705,0,3,S,,350025,7.8542
706,0,2,S,,250655,26.0
707,1,2,S,,223596,13.5
708,1,1,S,E24,PC 17476,26.2875
709,1,1,S,,113781,151.55
710,1,3,C,,2661,15.2458
711,1,1,C,C90,PC 17482,49.5042
712,0,1,S,C124,113028,26.55
713,1,1,S,C126,19996,52.0
714,0,3,S,,7545,9.4833
715,0,2,S,,250647,13.0
716,0,3,S,F G73,348124,7.65
717,1,1,C,C45,PC 17757,227.525
718,1,2,S,E101,34218,10.5
719,0,3,Q,,36568,15.5
720,0,3,S,,347062,7.775
721,1,2,S,,248727,33.0
722,0,3,S,,350048,7.0542
723,0,2,S,,12233,13.0
724,0,2,S,,250643,13.0
725,1,1,S,E8,113806,53.1
726,0,3,S,,315094,8.6625
727,1,2,S,,31027,21.0
728,1,3,Q,,36866,7.7375
729,0,2,S,,236853,26.0
730,0,3,S,,STON/O2. 3101271,7.925
731,1,1,S,B5,24160,211.3375
732,0,3,C,,2699,18.7875
733,0,2,S,,239855,0.0
734,0,2,S,,28425,13.0
735,0,2,S,,233639,13.0
736,0,3,S,,54636,16.1
737,0,3,S,,W./C. 6608,34.375
738,1,1,C,B101,PC 17755,512.3292
739,0,3,S,,349201,7.8958
740,0,3,S,,349218,7.8958
741,1,1,S,D45,16988,30.0
742,0,1,S,C46,19877,78.85
743,1,1,C,B57 B59 B63 B66,PC 17608,262.375
744,0,3,S,,376566,16.1
745,1,3,S,,STON/O 2. 3101288,7.925
746,0,1,S,B22,WE/P 5735,71.0
747,0,3,S,,C.A. 2673,20.25
748,1,2,S,,250648,13.0
749,0,1,S,D30,113773,53.1
750,0,3,Q,,335097,7.75
751,1,2,S,,29103,23.0
752,1,3,S,E121,392096,12.475
753,0,3,S,,345780,9.5
754,0,3,S,,349204,7.8958
755,1,2,S,,220845,65.0
756,1,2,S,,250649,14.5
757,0,3,S,,350042,7.7958
758,0,2,S,,29108,11.5
759,0,3,S,,363294,8.05
760,1,1,S,B77,110152,86.5
